Particle        Fit             K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      0               109.933         0.232433        49.9569         61.7505         295.042         0.015322        
Particle_2      0               16.0642         72.1204         0.00341         0.005356        0.122982        0.34023         
Particle_3      0               2.33497         0.022382        0.228324        0.460925        0.051315        0.007391        
Particle_4      0               315.317         0.006366        0.014037        0.036348        0.019306        0.144866        
Particle_5      0               0.044512        0.0019          904.756         0.003021        0.007694        0.003005        
Particle_6      0               0.006496        595.8           62.8584         0.261852        0.003242        68.2037         
Particle_7      0               0.834497        161.385         3.59374         0.01942         0.001152        1.22719         
Particle_8      0               0.130787        54.6434         272.242         0.001834        531.606         0.030876        
Particle_9      0               0.01745         15.7432         0.016618        0.142323        202.856         0.601761        
Particle_10     0               2.48236         4.62998         1.08295         0.011964        79.4543         0.012613        
