Model           Particle        Fit             K2RT            KD1             kdephos         km1             km2             kphos           
Model_0         Particle_1      0               109.933         0.232433        49.9569         61.7505         295.042         0.015322        
Model_1         Particle_1      0               0.102645        40.6797         0.046414        2.10775         0.731783        NA              
Model_0         Particle_2      0               16.0642         72.1204         0.00341         0.005356        0.122982        0.34023         
Model_1         Particle_2      0               15.8064         0.002502        3.34884         7.20772         878.253         NA              
Model_0         Particle_3      0               2.33497         0.022382        0.228324        0.460925        0.051315        0.007391        
Model_1         Particle_3      0               2.40617         154.196         235.728         0.024256        0.001057        NA              
Model_0         Particle_4      0               315.317         0.006366        0.014037        0.036348        0.019306        0.144866        
Model_1         Particle_4      0               0.330231        8.40368         0.014662        0.07217         1.0996          NA              
Model_0         Particle_5      0               0.044512        0.0019          904.756         0.003021        0.007694        0.003005        
Model_1         Particle_5      0               0.048239        0.490606        0.976084        231.212         0.001242        NA              
Model_0         Particle_6      183.848         0.006496        595.8           62.8584         0.261852        0.003242        68.2037         
Model_1         Particle_6      191.943         7.42916         0.030507        0.07233         791.968         1.50652         NA              
Model_0         Particle_7      204.978         0.834497        161.385         3.59374         0.01942         0.001152        1.22719         
Model_1         Particle_7      218.515         945.561         0.001555        4.0681          0.002148        1.4477          NA              
Model_0         Particle_8      231.795         0.130787        54.6434         272.242         0.001834        531.606         0.030876        
Model_1         Particle_8      237.008         161.396         107.708         340.835         8.32527         1.99713         NA              
Model_0         Particle_9      281.81          0.01745         15.7432         0.016618        0.142323        202.856         0.601761        
Model_1         Particle_9      328.006         21.7029         5.96031         21.1237         24.143          0.002111        NA              
Model_0         Particle_10     409.956         2.48236         4.62998         1.08295         0.011964        79.4543         0.012613        
Model_1         Particle_10     484.648         3.22046         0.341143        0.001419        0.078987        0.002332        NA              

