Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.79081062e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_2      2.92426739e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_3      2.92426739e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  1.97261000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_4      2.92426739e+03  2.92426740e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.37689000e-01  1.96040000e-02  1.22718900e+00  
Particle_5      2.92426740e+03  2.98815023e+03  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  1.15200000e-03  1.22718900e+00  
Particle_6      2.99225926e+03  2.99225926e+03  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.23900000e-03  1.22718900e+00  
Particle_7      2.99225926e+03  2.99225926e+03  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.93060000e-02  1.44866000e-01  
Particle_8      3.08566801e+03  3.08566801e+03  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.15200000e-03  1.22718900e+00  
Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.79081062e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_2      2.92426739e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_3      2.92426739e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  1.97261000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_4      2.92426739e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.37689000e-01  1.96040000e-02  1.22718900e+00  
Particle_5      2.92426740e+03  2.92426740e+03  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  1.15200000e-03  1.22718900e+00  
Particle_6      2.98815023e+03  2.99225926e+03  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.23900000e-03  1.22718900e+00  
Particle_7      2.99225926e+03  2.99225926e+03  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.93060000e-02  1.44866000e-01  
Particle_8      2.99225926e+03  3.08566801e+03  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.15200000e-03  1.22718900e+00  
