Particle        Fit_M0          Fit_M1          Fit_M2          Fit_M3          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      1.56055749e+04  1.56511430e+04  1.56511430e+04  1.56582782e+04  2.82531134e+02  -3.17732138e-02 -3.08557216e+00 5.40789839e+01  -1.26080521e+02 1.41213747e-01  
Particle_2      1.57149773e+04  1.60148992e+04  1.62003491e+04  1.62003491e+04  2.04337973e+02  2.12210178e+01  5.28418850e-03  4.76426933e-02  -1.65901732e-02 1.16559838e-01  
Particle_3      1.62500902e+04  1.62861369e+04  1.64978152e+04  1.64978152e+04  4.65722396e+01  1.43500251e-02  1.63207043e-01  3.68699818e-01  8.68249329e-03  1.80096810e-01  
Particle_4      1.65865271e+04  1.69905021e+04  1.69910275e+04  1.69910275e+04  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_5      1.70001552e+04  1.70001572e+04  1.70001572e+04  1.70034208e+04  2.90041368e+02  6.82638226e-03  -4.05647360e+02 5.18453215e-02  1.95304150e-02  1.94664466e-01  
Particle_6      1.70035004e+04  1.70037823e+04  1.70037823e+04  1.70166118e+04  7.79158899e+01  5.89902832e+02  1.29312731e+01  -2.50104399e-02 1.08496133e-02  -2.17963069e+01 
Particle_7      1.70166118e+04  1.71076854e+04  1.71195331e+04  1.71294290e+04  3.07777607e+02  1.00567840e+02  -2.18615888e-01 3.18563711e-02  2.84301889e-03  -1.82860927e-01 
Particle_8      1.71297095e+04  1.82919108e+04  1.82919108e+04  1.83984299e+04  3.36744128e+02  2.01993644e+01  2.58541534e+02  8.80401382e-03  4.04883524e+02  1.17033144e-01  
Particle        Fit_M0          Fit_M1          Fit_M2          Fit_M3          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      1.56055749e+04  1.56511430e+04  1.56511430e+04  1.56582782e+04  2.82531134e+02  -3.17732138e-02 -3.08557216e+00 5.40789839e+01  -1.26080521e+02 1.41213747e-01  
Particle_2      1.57149773e+04  1.60148992e+04  1.62003491e+04  1.62003491e+04  2.04337973e+02  2.12210178e+01  5.28418850e-03  4.76426933e-02  -1.65901732e-02 1.16559838e-01  
Particle_3      1.62500902e+04  1.62861369e+04  1.64978152e+04  1.64978152e+04  4.65722396e+01  1.43500251e-02  1.63207043e-01  3.68699818e-01  8.68249329e-03  1.80096810e-01  
Particle_4      1.65865271e+04  1.69905021e+04  1.69910275e+04  1.69910275e+04  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_5      1.70001552e+04  1.70001572e+04  1.70001572e+04  1.70034208e+04  2.90041368e+02  6.82638226e-03  -4.05647360e+02 5.18453215e-02  1.95304150e-02  1.94664466e-01  
Particle_6      1.70035004e+04  1.70037823e+04  1.70037823e+04  1.70166118e+04  7.79158899e+01  5.89902832e+02  1.29312731e+01  -2.50104399e-02 1.08496133e-02  -2.17963069e+01 
Particle_7      1.70166118e+04  1.71076854e+04  1.71195331e+04  1.71294290e+04  3.07777607e+02  1.00567840e+02  -2.18615888e-01 3.18563711e-02  2.84301889e-03  -1.82860927e-01 
Particle_8      1.71297095e+04  1.74059094e+04  1.82919108e+04  1.82919108e+04  3.36744128e+02  2.01993644e+01  2.58541534e+02  8.80401382e-03  4.04883524e+02  1.17033144e-01  
Particle        Fit_M0          Fit_M1          Fit_M2          Fit_M3          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      1.56055749e+04  1.56511430e+04  1.56511430e+04  1.56582782e+04  2.82531134e+02  -3.17732138e-02 -3.08557216e+00 5.40789839e+01  -1.26080521e+02 1.41213747e-01  
Particle_2      1.57149773e+04  1.60148992e+04  1.62003491e+04  1.62003491e+04  2.04337973e+02  2.12210178e+01  5.28418850e-03  4.76426933e-02  -1.65901732e-02 1.16559838e-01  
Particle_3      1.62500902e+04  1.62861369e+04  1.64978152e+04  1.64978152e+04  4.65722396e+01  1.43500251e-02  1.63207043e-01  3.68699818e-01  8.68249329e-03  1.80096810e-01  
Particle_4      1.65865271e+04  1.69905021e+04  1.69910275e+04  1.69910275e+04  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_5      1.70001552e+04  1.70001572e+04  1.70001572e+04  1.70034208e+04  2.90041368e+02  6.82638226e-03  -4.05647360e+02 5.18453215e-02  1.95304150e-02  1.94664466e-01  
Particle_6      1.70035004e+04  1.70037823e+04  1.70037823e+04  1.70166118e+04  7.79158899e+01  5.89902832e+02  1.29312731e+01  -2.50104399e-02 1.08496133e-02  -2.17963069e+01 
Particle_7      1.70166118e+04  1.71076854e+04  1.71195331e+04  1.71294290e+04  3.07777607e+02  1.00567840e+02  -2.18615888e-01 3.18563711e-02  2.84301889e-03  -1.82860927e-01 
Particle_8      1.71297095e+04  1.74059094e+04  1.82919108e+04  1.82919108e+04  3.36744128e+02  2.01993644e+01  2.58541534e+02  8.80401382e-03  4.04883524e+02  1.17033144e-01  
